Date,Price
01/01/1990,53658.00
01/02/1990,53658.00
01/03/1990,53658.00
01/04/1990,53176.00
01/05/1990,53176.00
01/06/1990,53176.00
01/07/1990,54141.00
01/08/1990,54141.00
01/09/1990,54141.00
01/10/1990,53337.00
01/11/1990,53337.00
01/12/1990,53337.00
01/01/1991,52586.00
01/02/1991,52586.00
01/03/1991,52586.00
01/04/1991,52372.00
01/05/1991,52372.00
01/06/1991,52372.00
01/07/1991,53390.00
01/08/1991,53390.00
01/09/1991,53390.00
01/10/1991,52908.00
01/11/1991,52908.00
01/12/1991,52908.00
01/01/1992,52050.00
01/02/1992,52050.00
01/03/1992,52050.00
01/04/1992,50817.00
01/05/1992,50817.00
01/06/1992,50817.00
01/07/1992,50967.00
01/08/1992,50967.00
01/09/1992,50967.00
01/10/1992,49018.00
01/11/1992,49018.00
01/12/1992,49018.00
01/01/1993,49268.00
01/02/1993,49268.00
01/03/1993,49268.00
01/04/1993,49668.00
01/05/1993,49668.00
01/06/1993,49668.00
01/07/1993,50717.00
01/08/1993,50717.00
01/09/1993,50717.00
01/10/1993,49768.00
01/11/1993,49768.00
01/12/1993,49768.00
01/01/1994,50317.00
01/02/1994,50317.00
01/03/1994,50317.00
01/04/1994,51017.00
01/05/1994,51017.00
01/06/1994,51017.00
01/07/1994,51866.00
01/08/1994,51866.00
01/09/1994,51866.00
01/10/1994,51517.00
01/11/1994,51517.00
01/12/1994,51517.00
01/01/1995,51067.00
01/02/1995,51067.00
01/03/1995,51067.00
01/04/1995,51617.00
01/05/1995,51617.00
01/06/1995,51617.00
01/07/1995,52066.00
01/08/1995,52066.00
01/09/1995,52066.00
01/10/1995,51367.00
01/11/1995,51367.00
01/12/1995,51367.00
01/01/1996,52116.00
01/02/1996,52116.00
01/03/1996,52116.00
01/04/1996,52166.00
01/05/1996,52166.00
01/06/1996,52166.00
01/07/1996,54215.00
01/08/1996,54215.00
01/09/1996,54215.00
01/10/1996,55164.00
01/11/1996,55164.00
01/12/1996,55164.00
01/01/1997,55914.00
01/02/1997,55914.00
01/03/1997,55914.00
01/04/1997,57063.00
01/05/1997,57063.00
01/06/1997,57063.00
01/07/1997,59961.00
01/08/1997,59961.00
01/09/1997,59961.00
01/10/1997,59511.00
01/11/1997,59511.00
01/12/1997,59511.00
01/01/1998,61010.00
01/02/1998,61010.00
01/03/1998,61010.00
01/04/1998,64258.00
01/05/1998,64258.00
01/06/1998,64258.00
01/07/1998,67057.00
01/08/1998,67057.00
01/09/1998,67057.00
01/10/1998,66757.00
01/11/1998,66757.00
01/12/1998,66757.00
01/01/1999,67157.00
01/02/1999,67157.00
01/03/1999,67157.00
01/04/1999,70005.00
01/05/1999,70005.00
01/06/1999,70005.00
01/07/1999,74102.00
01/08/1999,74102.00
01/09/1999,74102.00
01/10/1999,76001.00
01/11/1999,76001.00
01/12/1999,76001.00
01/01/2000,77950.00
01/02/2000,77950.00
01/03/2000,77950.00
01/04/2000,82197.00
01/05/2000,82197.00
01/06/2000,82197.00
01/07/2000,83746.00
01/08/2000,83746.00
01/09/2000,83746.00
01/10/2000,86244.00
01/11/2000,86244.00
01/12/2000,86244.00
01/01/2001,85794.00
01/02/2001,85794.00
01/03/2001,85794.00
01/04/2001,88892.00
01/05/2001,88892.00
01/06/2001,88892.00
01/07/2001,92090.00
01/08/2001,92090.00
01/09/2001,92090.00
01/10/2001,90242.00
01/11/2001,90242.00
01/12/2001,90242.00
01/01/2002,89928.00
01/02/2002,93190.00
01/03/2002,96451.00
01/04/2002,97756.00
01/05/2002,100272.00
01/06/2002,104372.00
01/07/2002,105211.00
01/08/2002,107541.00
01/09/2002,110150.00
01/10/2002,110989.00
01/11/2002,112107.00
01/12/2002,115835.00
01/01/2003,114996.00
01/02/2003,113785.00
01/03/2003,116208.00
01/04/2003,119003.00
01/05/2003,118164.00
01/06/2003,118444.00
01/07/2003,120494.00
01/08/2003,122638.00
01/09/2003,122265.00
01/10/2003,124408.00
01/11/2003,123010.00
01/12/2003,125433.00
01/01/2004,126179.00
01/02/2004,124967.00
01/03/2004,125247.00
01/04/2004,130931.00
01/05/2004,132516.00
01/06/2004,134845.00
01/07/2004,137734.00
01/08/2004,139319.00
01/09/2004,139039.00
01/10/2004,140064.00
01/11/2004,139878.00
01/12/2004,138853.00
01/01/2005,138759.00
01/02/2005,138626.00
01/03/2005,139763.00
01/04/2005,141751.00
01/05/2005,143273.00
01/06/2005,144410.00
01/07/2005,146269.00
01/08/2005,146864.00
01/09/2005,146635.00
01/10/2005,146342.00
01/11/2005,146777.00
01/12/2005,147580.00
01/01/2006,147360.00
01/02/2006,147601.00
01/03/2006,148798.00
01/04/2006,152032.00
01/05/2006,153473.00
01/06/2006,154927.00
01/07/2006,157156.00
01/08/2006,158476.00
01/09/2006,159122.00
01/10/2006,160054.00
01/11/2006,160878.00
01/12/2006,162881.00
01/01/2007,162825.00
01/02/2007,163288.00
01/03/2007,164555.00
01/04/2007,167877.00
01/05/2007,169800.00
01/06/2007,171659.00
01/07/2007,173817.00
01/08/2007,174826.00
01/09/2007,175052.00
01/10/2007,174644.00
01/11/2007,174553.00
01/12/2007,174280.00
01/01/2008,171137.00
01/02/2008,169666.00
01/03/2008,168432.00
01/04/2008,168711.00
01/05/2008,169742.00
01/06/2008,167498.00
01/07/2008,165669.00
01/08/2008,162212.00
01/09/2008,158128.00
01/10/2008,154920.00
01/11/2008,150563.00
